perimetre,millesime,tarif,rang,taux_taxation,composante_carbone,boucliers_et_aides,prix_quotas_ets,prix_reel_quotas_ets,remboursement_indirect_ets,quantite,unite_tarif,unite_quantite
Carbone,2014,164.720880301,1,164.7208803005905,7.0,0.0,0.0,0.0,0.0,78.255239169,euro/tCO2,MtCO2
Carbone,2014,225.824023014,1,225.824023013787,7.0,0.0,0.0,0.0,0.0,0.00864852,euro/tCO2,MtCO2
Carbone,2014,229.608135425,1,229.6081354253941,7.0,0.0,0.0,0.0,0.0,0.03158419,euro/tCO2,MtCO2
Carbone,2014,232.182123591,1,232.1821235907007,7.0,0.0,0.0,0.0,0.0,0.50583275,euro/tCO2,MtCO2
Carbone,2014,232.369098568,1,232.3690985677131,7.0,0.0,0.0,0.0,0.0,0.711214953,euro/tCO2,MtCO2
Carbone,2014,257.354639914,1,257.3546399136148,7.0,0.0,0.0,0.0,0.0,0.167611526,euro/tCO2,MtCO2
Carbone,2014,261.667107977,1,261.6671079765114,7.0,0.0,0.0,0.0,0.0,0.612113329,euro/tCO2,MtCO2
Carbone,2014,264.600488529,1,264.6004885291374,7.0,0.0,0.0,0.0,0.0,6.332227584,euro/tCO2,MtCO2
Carbone,2014,264.813569836,1,264.8135698357216,7.0,0.0,0.0,0.0,0.0,13.783609708,euro/tCO2,MtCO2
Carbone,2015,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,122.305563206,euro/tCO2,MtCO2
Carbone,2015,0.592499651,1,0.5924996514707932,0.0,0.0,0.0,0.0,0.0,0.367837802,euro/tCO2,MtCO2
Carbone,2015,0.594729345,1,0.5947293447293448,0.0,0.0,0.0,0.0,0.0,0.06240156,euro/tCO2,MtCO2
Carbone,2015,3.089304258,1,3.089304257528557,0.0,0.0,0.0,0.0,0.0,0.196850685,euro/tCO2,MtCO2
Carbone,2015,3.272827283,1,3.272827282728273,0.0,0.0,0.0,0.0,0.0,0.07280719,euro/tCO2,MtCO2
Carbone,2015,3.494244773,1,3.494244773314541,0.0,0.0,0.0,0.0,0.0,0.565870241,euro/tCO2,MtCO2
Carbone,2015,4.08,1,4.08,0.0,0.0,0.0,0.0,0.0,8.52042986,euro/tCO2,MtCO2
Carbone,2015,5.924996515,1,5.924996514707932,0.0,0.0,0.0,0.0,0.0,0.614072986,euro/tCO2,MtCO2
Carbone,2015,6.323315608,1,6.323315608133676,7.0,0.0,0.0,0.0,0.0,8.763878532,euro/tCO2,MtCO2
Carbone,2015,7.619650513,1,0.0,0.0,0.0,7.619650512909028,0.0,0.0,62.491834358,euro/tCO2,MtCO2
Carbone,2015,7.619650513,2,0.0,0.0,0.0,7.619650512909028,7.619650512909028,0.0,19.675332737,euro/tCO2,MtCO2
