perimetre,regime,produit,millesime,part,source
Energie,E10 - transport routier,Pétrole,2024*,0.9397298797146811,observe
Energie,E85 - transport routier,Chaleur et biomasse,2017,0.6165108484617597,observe
Energie,E85 - transport routier,Pétrole,2017,0.3834891515382402,observe
Energie,E85 - transport routier,Chaleur et biomasse,2018,0.6130173229542057,observe
Energie,E85 - transport routier,Pétrole,2018,0.38698267704579425,observe
Energie,E85 - transport routier,Chaleur et biomasse,2019,0.6060120291605027,observe
Energie,E85 - transport routier,Pétrole,2019,0.3939879708394974,observe
Energie,E85 - transport routier,Chaleur et biomasse,2020,0.5961342319500531,observe
Energie,E85 - transport routier,Pétrole,2020,0.4038657680499468,observe
Energie,E85 - transport routier,Chaleur et biomasse,2021,0.5899021713200716,observe
Energie,E85 - transport routier,Pétrole,2021,0.41009782867992844,observe
Energie,E85 - transport routier,Chaleur et biomasse,2022,0.5820342651942684,observe
Energie,E85 - transport routier,Pétrole,2022,0.4179657348057316,observe
Energie,E85 - transport routier,Chaleur et biomasse,2023,0.567255443033853,observe
Energie,E85 - transport routier,Pétrole,2023,0.43274455696614705,observe
Energie,E85 - transport routier,Chaleur et biomasse,2024*,0.567255443033853,observe
Energie,E85 - transport routier,Pétrole,2024*,0.43274455696614705,observe
Energie,Electricité - entreprises,Électricité,,1.0,observe
Energie,Electricité - ménages,Électricité,,1.0,observe
Energie,Essence - Bateaux,Pétrole,,1.0,intitule
Energie,Essence - Taxis,Chaleur et biomasse,2017,0.05329093186855503,observe
Energie,Essence - Taxis,Pétrole,2017,0.946709068131445,observe
Energie,Essence - Taxis,Chaleur et biomasse,2018,0.05398457583547529,observe
Energie,Essence - Taxis,Pétrole,2018,0.9460154241645248,observe
Energie,Essence - Taxis,Chaleur et biomasse,2019,0.05398457583547525,observe
Energie,Essence - Taxis,Pétrole,2019,0.9460154241645248,observe
Energie,Essence - Taxis,Chaleur et biomasse,2020,0.05676406229887967,observe
Energie,Essence - Taxis,Pétrole,2020,0.9432359377011202,observe
Energie,Essence - Taxis,Chaleur et biomasse,2021,0.05676406229887967,observe
Energie,Essence - Taxis,Pétrole,2021,0.9432359377011202,observe
Energie,Essence - Taxis,Chaleur et biomasse,2022,0.05676406229887967,observe
