perimetre,millesime,dimension,tarif,categorie,quantite,quantite_cumulee,unite_tarif,unite_quantite
Carbone,2014,Agents,257.3546399136148,Ménages,0.1539820492772519,455.2496028905964,euro/tCO2,MtCO2
Carbone,2014,Agents,261.6671079765114,Entreprises et administrations,0.0497745252253402,455.2993774158217,euro/tCO2,MtCO2
Carbone,2014,Agents,261.6671079765114,Ménages,0.5623388033187458,455.8617162191405,euro/tCO2,MtCO2
Carbone,2014,Agents,264.6004885291374,Entreprises et administrations,0.51491056787971,456.3766267870202,euro/tCO2,MtCO2
Carbone,2014,Agents,264.6004885291374,Ménages,5.81731701601927,462.1939438030395,euro/tCO2,MtCO2
Carbone,2014,Agents,264.8135698357216,Entreprises et administrations,1.120826156027888,463.3147699590673,euro/tCO2,MtCO2
Carbone,2014,Agents,264.8135698357216,Ménages,12.66278355153842,475.9775535106058,euro/tCO2,MtCO2
Carbone,2015,Agents,0.0,Entreprises et administrations,113.8842058062929,113.8842058062929,euro/tCO2,MtCO2
Carbone,2015,Agents,0.0,Ménages,8.421357399916424,122.3055632062093,euro/tCO2,MtCO2
Carbone,2015,Agents,0.5924996514707932,Entreprises et administrations,0.3678378024510001,122.6734010086603,euro/tCO2,MtCO2
Carbone,2015,Agents,0.5947293447293448,Entreprises et administrations,0.06240156000000004,122.7358025686603,euro/tCO2,MtCO2
Carbone,2015,Agents,3.089304257528557,Entreprises et administrations,0.1968506848155673,122.9326532534758,euro/tCO2,MtCO2
Carbone,2015,Agents,3.272827282728273,Entreprises et administrations,0.07280718984636131,123.0054604433222,euro/tCO2,MtCO2
Carbone,2015,Agents,3.494244773314541,Entreprises et administrations,0.5658702405699952,123.5713306838922,euro/tCO2,MtCO2
Carbone,2015,Agents,4.08,Entreprises et administrations,8.52042985997791,132.0917605438701,euro/tCO2,MtCO2
Carbone,2015,Agents,5.924996514707932,Entreprises et administrations,0.614072985567073,132.7058335294372,euro/tCO2,MtCO2
Carbone,2015,Agents,6.323315608133676,Entreprises et administrations,8.763878532326206,141.4697120617634,euro/tCO2,MtCO2
Carbone,2015,Agents,7.619650512909028,Entreprises et administrations,82.16716709529007,223.6368791570535,euro/tCO2,MtCO2
Carbone,2015,Agents,10.70895477043758,Entreprises et administrations,0.1917649634137684,223.8286441204672,euro/tCO2,MtCO2
Carbone,2015,Agents,10.8924777956373,Entreprises et administrations,0.08261861340875695,223.911262733876,euro/tCO2,MtCO2
Carbone,2015,Agents,11.11389528622357,Entreprises et administrations,0.725980022501372,224.6372427563774,euro/tCO2,MtCO2
Carbone,2015,Agents,13.01514445180175,Ménages,27.53804699343029,252.1752897498076,euro/tCO2,MtCO2
Carbone,2015,Agents,13.14453008304953,Entreprises et administrations,14.31056324779462,266.4858529976023,euro/tCO2,MtCO2
Carbone,2015,Agents,13.54464702761696,Entreprises et administrations,21.33643277688068,287.822285774483,euro/tCO2,MtCO2
Carbone,2015,Agents,14.38643381985151,Entreprises et administrations,8.66791093780571,296.4901967122887,euro/tCO2,MtCO2
Carbone,2015,Agents,14.51923076923077,Entreprises et administrations,0.2434372996290802,296.7336340119177,euro/tCO2,MtCO2
Carbone,2015,Agents,15.88297385035152,Entreprises et administrations,0.5733125986750597,297.3069466105928,euro/tCO2,MtCO2
Carbone,2015,Agents,15.88297385035152,Ménages,0.231825592908,297.5387722035008,euro/tCO2,MtCO2
Carbone,2015,Agents,16.5,Entreprises et administrations,11.645491941,309.1842641445008,euro/tCO2,MtCO2
Carbone,2015,Agents,16.5,Ménages,3.629020221,312.8132843655008,euro/tCO2,MtCO2
Carbone,2015,Agents,20.76418059595856,Entreprises et administrations,1.803720604778698,314.6170049702795,euro/tCO2,MtCO2
Carbone,2015,Agents,22.1388812821398,Entreprises et administrations,0.5524294953061308,315.1694344655857,euro/tCO2,MtCO2
Carbone,2015,Agents,28.19823590423352,Ménages,14.04950700662917,329.2189414722148,euro/tCO2,MtCO2
Carbone,2015,Agents,28.47855907437228,Entreprises et administrations,8.248183670488286,337.4671251427031,euro/tCO2,MtCO2
Carbone,2015,Agents,29.05,Entreprises et administrations,11.18555410675295,348.652679249456,euro/tCO2,MtCO2
Carbone,2015,Agents,35.66366212107381,Entreprises et administrations,2.906915145249204,351.5595943947052,euro/tCO2,MtCO2
Carbone,2015,Agents,36.09820958728131,Entreprises et administrations,0.1714166681351226,351.7310110628404,euro/tCO2,MtCO2
Carbone,2015,Agents,40.40675135683188,Entreprises et administrations,1.6429724293898,353.3739834922301,euro/tCO2,MtCO2
Carbone,2015,Agents,43.28331263398283,Entreprises et administrations,0.1084229474618983,353.4824064396921,euro/tCO2,MtCO2
Carbone,2015,Agents,48.0264018697409,Entreprises et administrations,0.4879618779815477,353.9703683176736,euro/tCO2,MtCO2
Carbone,2015,Agents,53.32296756547186,Entreprises et administrations,0.08015220208107275,354.0505205197547,euro/tCO2,MtCO2
Carbone,2015,Agents,53.32296756547186,Ménages,0.1454452786988226,354.1959657984535,euro/tCO2,MtCO2
Carbone,2015,Agents,112.5723146657124,Entreprises et administrations,0.402255115543008,354.5982209139965,euro/tCO2,MtCO2
Carbone,2015,Agents,146.0830798592473,Entreprises et administrations,2.294085069546191,356.8923059835427,euro/tCO2,MtCO2
Carbone,2015,Agents,150.2194886649554,Ménages,0.487012079098556,357.3793180626413,euro/tCO2,MtCO2
Carbone,2015,Agents,150.7882370774595,Entreprises et administrations,1.3111294144,358.6904474770413,euro/tCO2,MtCO2
Carbone,2015,Agents,154.7859946038754,Entreprises et administrations,0.02588629037056,358.7163337674118,euro/tCO2,MtCO2
Carbone,2015,Agents,160.9933202123218,Entreprises et administrations,18.77023956145152,377.4865733288634,euro/tCO2,MtCO2
Carbone,2015,Agents,174.524363332737,Entreprises et administrations,0.6973869788298772,378.1839603076932,euro/tCO2,MtCO2
Carbone,2015,Agents,174.524363332737,Ménages,1.423319671119718,379.6072799788129,euro/tCO2,MtCO2
Carbone,2015,Agents,179.5565694518996,Entreprises et administrations,25.81798397405556,405.4252639528685,euro/tCO2,MtCO2
Carbone,2015,Agents,179.5565694518996,Ménages,52.69275965058009,458.1180236034486,euro/tCO2,MtCO2
Carbone,2015,Agents,232.3312657610431,Entreprises et administrations,0.004848621706748337,458.1228722251553,euro/tCO2,MtCO2
Carbone,2015,Agents,232.3312657610431,Ménages,0.0048203338320619,458.1276925589874,euro/tCO2,MtCO2
Carbone,2015,Agents,236.1153781726502,Entreprises et administrations,0.02275141681376134,458.1504439758012,euro/tCO2,MtCO2
Carbone,2015,Agents,236.1153781726502,Ménages,0.02261868028229079,458.1730626560835,euro/tCO2,MtCO2
Carbone,2015,Agents,238.6841303079916,Entreprises et administrations,0.2863146619987241,458.4593773180822,euro/tCO2,MtCO2
Carbone,2015,Agents,238.6841303079916,Ménages,0.2846442422857907,458.744021560368,euro/tCO2,MtCO2
Carbone,2015,Agents,238.8763413149692,Entreprises et administrations,0.3742564072379657,459.1182779676059,euro/tCO2,MtCO2
Carbone,2015,Agents,238.8763413149692,Ménages,0.3720729169619953,459.4903508845679,euro/tCO2,MtCO2
Carbone,2015,Agents,264.7704546338597,Entreprises et administrations,0.01554333324555299,459.5058942178135,euro/tCO2,MtCO2
Carbone,2015,Agents,264.7704546338597,Ménages,0.1597977658137681,459.6656919836273,euro/tCO2,MtCO2
Carbone,2015,Agents,269.0829226967564,Entreprises et administrations,0.07293471727286578,459.7386267009001,euro/tCO2,MtCO2
Carbone,2015,Agents,269.0829226967564,Ménages,0.7498266096686357,460.4884533105688,euro/tCO2,MtCO2
Carbone,2015,Agents,272.0103361401781,Entreprises et administrations,0.5928665226586142,461.0813198332274,euro/tCO2,MtCO2
Carbone,2015,Agents,272.0103361401781,Ménages,6.095137011472708,467.1764568447001,euro/tCO2,MtCO2
Carbone,2015,Agents,272.2293845559665,Entreprises et administrations,1.199761996050691,468.3762188407508,euro/tCO2,MtCO2
Carbone,2015,Agents,272.2293845559665,Ménages,12.33450273814459,480.7107215788953,euro/tCO2,MtCO2
Carbone,2016,Agents,0.0,Entreprises et administrations,114.7825091499609,114.7825091499609,euro/tCO2,MtCO2
Carbone,2016,Agents,0.0,Ménages,8.524418775408957,123.3069279253699,euro/tCO2,MtCO2
Carbone,2016,Agents,0.5924996514707932,Entreprises et administrations,0.3857706108900002,123.6926985362599,euro/tCO2,MtCO2
Carbone,2016,Agents,0.5947293447293448,Entreprises et administrations,0.06240156000000004,123.7551000962599,euro/tCO2,MtCO2
Carbone,2016,Agents,3.089304257528557,Entreprises et administrations,0.1763042697768256,123.9314043660367,euro/tCO2,MtCO2
Carbone,2016,Agents,3.272827282728273,Entreprises et administrations,0.05692275616138762,123.9883271221981,euro/tCO2,MtCO2
Carbone,2016,Agents,3.494244773314541,Entreprises et administrations,0.5340909377666048,124.5224180599647,euro/tCO2,MtCO2
Carbone,2016,Agents,4.08,Entreprises et administrations,8.52042985997791,133.0428479199426,euro/tCO2,MtCO2
Carbone,2016,Agents,5.259845110198853,Entreprises et administrations,78.38747072806846,211.4303186480111,euro/tCO2,MtCO2
Carbone,2016,Agents,7.568062775089124,Entreprises et administrations,0.7820812355081894,212.2123998835193,euro/tCO2,MtCO2
Carbone,2016,Agents,7.966381868514868,Entreprises et administrations,1.517098681458859,213.7294985649781,euro/tCO2,MtCO2
Carbone,2016,Agents,8.34914936772741,Entreprises et administrations,0.1681155273864629,213.8976140923646,euro/tCO2,MtCO2
Carbone,2016,Agents,8.532672392927125,Entreprises et administrations,0.0654171716508962,213.9630312640155,euro/tCO2,MtCO2
Carbone,2016,Agents,8.754089883513394,Entreprises et administrations,0.7116340300471901,214.6746652940627,euro/tCO2,MtCO2
Carbone,2016,Agents,12.82790788528798,Entreprises et administrations,32.05601847215024,246.7306837662129,euro/tCO2,MtCO2
Carbone,2016,Agents,14.38628647139605,Entreprises et administrations,8.467705007392627,255.1983887736056,euro/tCO2,MtCO2
Carbone,2016,Agents,16.5,Entreprises et administrations,11.292886629,266.4912754026055,euro/tCO2,MtCO2
Carbone,2016,Agents,16.5,Ménages,3.690005661,270.1812810636056,euro/tCO2,MtCO2
Carbone,2016,Agents,20.51343331142579,Entreprises et administrations,0.58274926422043,270.764030327826,euro/tCO2,MtCO2
Carbone,2016,Agents,20.51343331142579,Ménages,0.24283847196,271.006868799786,euro/tCO2,MtCO2
Carbone,2016,Agents,21.40154093416553,Ménages,29.78797622171579,300.7948450215018,euro/tCO2,MtCO2
Carbone,2016,Agents,21.60881081834658,Entreprises et administrations,15.17984754496346,315.9746925664653,euro/tCO2,MtCO2
Carbone,2016,Agents,22.05128205128205,Entreprises et administrations,0.1815188431008477,316.1562114095661,euro/tCO2,MtCO2
Carbone,2016,Agents,26.86865592854543,Entreprises et administrations,1.56561295302259,317.7218243625887,euro/tCO2,MtCO2
Carbone,2016,Agents,27.3111271614809,Entreprises et administrations,0.4206562108991526,318.1424805734878,euro/tCO2,MtCO2
Carbone,2016,Agents,29.05,Entreprises et administrations,11.27618219396171,329.4186627674495,euro/tCO2,MtCO2
Carbone,2016,Agents,35.55208838485084,Ménages,12.91764987976604,342.3363126472156,euro/tCO2,MtCO2
Carbone,2016,Agents,35.89640365002685,Entreprises et administrations,7.520325116605695,349.8566377638213,euro/tCO2,MtCO2
Carbone,2016,Agents,41.1562487602257,Entreprises et administrations,0.1918562868114126,350.0484940506327,euro/tCO2,MtCO2
Carbone,2016,Agents,42.16980143064145,Entreprises et administrations,2.834657349461924,352.8831514000946,euro/tCO2,MtCO2
Carbone,2016,Agents,47.4296465408403,Entreprises et administrations,0.105606242165485,352.9887576422601,euro/tCO2,MtCO2
Carbone,2016,Agents,47.82459593248644,Entreprises et administrations,1.600607550207323,354.5893651924674,euro/tCO2,MtCO2
Carbone,2016,Agents,53.08444104268529,Entreprises et administrations,0.4753795329363406,355.0647447254038,euro/tCO2,MtCO2
Carbone,2016,Agents,57.30168129920323,Entreprises et administrations,0.07547721503278866,355.1402219404366,euro/tCO2,MtCO2
Carbone,2016,Agents,57.30168129920323,Ménages,0.1294435382878771,355.2696654787244,euro/tCO2,MtCO2
Carbone,2016,Agents,112.5723146657124,Entreprises et administrations,0.40363606471032,355.6733015434347,euro/tCO2,MtCO2
