plf;numero;impot;perimetre;libelle;finalite;creation;modification;fin_fait_generateur;fin_incidence;beneficiaires;fiabilite;norme;methode;reference;mission;changement_methode;regime;page_source
2022;120504;Impôt sur le revenu;depense_fiscale;de parts de créateur d'entreprise attribués jusqu’au 31 décembre 2017 et au taux forfaitaire de 12,8 %, après application le cas échéant de l’abattement de l’article 150-0 D ter du CGI, pour les bons attribués à compter du 1er janvier 2018.;Favoriser la cession d'entreprises par leurs créateurs;1997;2019;non borné;non bornée;500 Entreprises et Ménages;Très bonne;;Simulation;code général des impôts 163 bis G;Économie/ P134 Développement des entreprises et régulations;;C;92
2023;120504;Impôt sur le revenu;depense_fiscale;Imposition au taux forfaitaire de 19 % des gains nets provenant de la cession des titres souscrits en exercice des bons de parts de créateur d'entreprise attribués jusqu’au 31 décembre 2017 et au taux forfaitaire de 12,8 %, après application le cas échéant de l’abattement de l’article 150-0 D ter du CGI, pour les bons attribués à compter du 1er janvier 2018.;Favoriser la cession d'entreprises par leurs créateurs;1997;2019;non borné;non bornée;900 Entreprises et ménages;Très bonne;"Barème progressif de l'impôt sur le revenu dans la catégorie ""traitements et salaires"" de l'ensemble des revenus";Simulation;code général des impôts 163 bis G;Économie/ P134 Développement des entreprises et régulations;;C;92
2024;120504;Impôt sur le revenu;depense_fiscale;Imposition au taux forfaitaire de 19 % des gains nets provenant de la cession des titres souscrits en exercice des bons de parts de créateur d'entreprise attribués jusqu’au 31 décembre 2017 et au taux forfaitaire de 12,8 %, après application le cas échéant de l’abattement de l’article 150-0 D ter du CGI, pour les bons attribués à compter du 1er janvier 2018.;Favoriser la cession d'entreprises par leurs créateurs;1997;2019;non borné;non bornée;1 600 Entreprises et ménages;Très bonne;"Barème progressif de l'impôt sur le revenu dans la catégorie ""traitements et salaires"" de l'ensemble des";Simulation;code général des impôts 163 bis G;Économie/ P134 Développement des entreprises et régulations;;C;92
2025;120504;Impôt sur le revenu;depense_fiscale;Imposition au taux forfaitaire de 19 % des gains nets provenant de la cession des titres souscrits en exercice des bons de parts de créateur d'entreprise attribués jusqu’au 31 décembre 2017 et au taux forfaitaire de 12,8 %, après application le cas échéant de l’abattement de l’article 150-0 D ter du CGI, pour les bons attribués à compter du 1er janvier 2018.;Favoriser la cession d'entreprises par leurs créateurs;1997;2019;non borné;non bornée;1 800 Entreprises et ménages;Très bonne;"Barème progressif de l'impôt sur le revenu dans la catégorie ""traitements et salaires"" de l'ensemble des";Simulation;code général des impôts 163 bis G;Économie/ P134 Développement des entreprises et régulations;;C;92
2009;120505;Impôt sur le revenu;depense_fiscale;Imposition selon un quotient spécifique des sommes versées au titre de la reconstitution de carrière de certains fonctionnaires ayant servi en Afrique du Nord et des sommes versées aux anciens sociétaires du régime de retraite complémentaire institué par la mutuelle retraite de la fonction publique (CREF/Force Plus);Aider les anciens combattants;1992;2002;;;60 ménages;Très bonne;;Simulation;163-0 A bis 2ème et 3ème alinéas;Solidarité, insertion et égalité des chances / Handicap et dépendance (P157);;B;58
2010;120505;Impôt sur le revenu;depense_fiscale;Imposition selon un quotient spécifique des sommes versées au titre de la reconstitution de carrière de certains fonctionnaires ayant servi en Afrique du Nord et des sommes versées aux anciens sociétaires du régime de retraite complémentaire institué par la mutuelle retraite de la fonction publique (CREF/Force Plus);Aider les anciens combattants;1992;2002;;;40 ménages;Très bonne;;Simulation;163-0 A bis 2ème et 3ème alinéas;Solidarité, insertion et égalité des chances / Handicap et dépendance (P157);;B;70
2009;120506;Impôt sur le revenu;depense_fiscale;Imposition au taux forfaitaire de 30 % de l’avantage (« gain d’acquisition ») résultant de l’attribution d’actions gratuites : Dispositif BALLADUR;Développer la distribution d’actions gratuites;2004;2006;;;(nombre non déterminé) ménages;Bonne;;Reconstitution de base taxable à partir de données déclaratives fiscales;80 quaterdecies, 200 A-6 bis Numéro                               Traitements, salaires, pensions et rentes viagères                                2007   2008         2009 de la mesure                                                     Mesure;Engagements financiers de l’État / Épargne (P145);;B;58
2010;120506;Impôt sur le revenu;depense_fiscale;Imposition au taux forfaitaire de 30 % de l’avantage (« gain d’acquisition ») résultant de l’attribution d’actions gratuites : Dispositif BALLADUR;Développer la distribution d’actions gratuites;2004;2006;;;(nombre non déterminé) ménages;Bonne;;Reconstitution de base taxable à partir de données déclaratives fiscales;80 quaterdecies, 200 A-6 bis;Engagements financiers de l’État / Épargne (P145);;B;70
2011;120506;Impôt sur le revenu;depense_fiscale;Imposition au taux forfaitaire de 30 % de l’avantage (« gain d’acquisition ») résultant de l’attribution d’actions gratuites : Dispositif BALLADUR;Développer la distribution d’actions gratuites;2004;2006;dépense fiscale non-bornée Fin d’incidence budgétaire : dépense fiscale non-bornée;;(nombre non déterminé) ménages;Bonne;;Reconstitution de base taxable à partir de données déclaratives fiscales;80 quaterdecies, 200 A-6 bis;Engagements financiers de l’État / Épargne (P145);;B;62
2012;120506;Impôt sur le revenu;depense_fiscale;Imposition au taux forfaitaire de 30 % de l’avantage (« gain d’acquisition ») résultant de l’attribution d’actions gratuites : Dispositif BALLADUR;Développer la distribution d’actions gratuites;2004;2006;dépense fiscale non-bornée Fin d’incidence budgétaire : dépense fiscale non-bornée;;(nombre non déterminé) ménages;Bonne;;Reconstitution de base taxable à partir de données déclaratives fiscales;80 quaterdecies, 200 A-6 bis;Engagements financiers de l’État / Épargne (P145);;B;94
2013;120506;Impôt sur le revenu;depense_fiscale;Imposition au taux forfaitaire de 30 % de l’avantage (« gain d’acquisition ») résultant de l’attributio d’actions gratuites : Dispositif BALLADUR;Développer la distribution d’actions gratuites;2004;2006;dépense fiscale non-bornée Fin d’incidence budgétaire : dépense fiscale non-bornée;;(nombre non déterminé) ménages;Bonne;;Reconstitution de base taxable à partir de données déclaratives fiscales;80 quaterdecies, 200 A-6 bis PLF 2013                                                                 93 Numéro                               Traitements, salaires, pensions et rentes viagères                                       2011     2012         2013 de la mesure                                                      Mesure;Engagements financiers de l’État / Épargne (P145);;B;92
2014;120506;Impôt sur le revenu;depense_fiscale;Imposition au taux forfaitaire de 30 % de l’avantage (« gain d’acquisition ») résultant de l’attribution d’actions gratuites avant le 28 septembre 2012;Développer la distribution d’actions gratuites;2004;2012;dépense fiscale non-bornée;dépense fiscale non-bornée;(nombre non déterminé) ménages;Ordre de grandeur;;Reconstitution de base taxable à partir de données déclaratives fiscales;80 quaterdecies, 200 A-6 bis Numéro                               Traitements, salaires, pensions et rentes viagères                                       2012   2013         2014 de la mesure                                                      Mesure;Engagements financiers de l’État / Épargne (P145);;B;92
2015;120506;Impôt sur le revenu;depense_fiscale;Imposition au taux forfaitaire de 30 % de l’avantage (« gain d’acquisition ») résultant de l’attribution d’actions gratuites avant le 28 septembre 2012;Développer la distribution d’actions gratuites;2004;2012;dépense fiscale non-bornée;dépense fiscale non-bornée;(nombre non déterminé) ménages;Ordre de grandeur;;Reconstitution de base taxable à partir de données déclaratives fiscales;80 quaterdecies, 200 A-6 bis;Engagements financiers de l’État / Épargne (P145);;B;96
2016;120506;Impôt sur le revenu;depense_fiscale;Imposition au taux forfaitaire de 30 % de l'avantage (« gain d'acquisition ») résultant de l'attribution d'actions gratuites avant le 28 septembre 2012;Développer la distribution d'actions gratuites;2004;2012;dépense fiscale non-bornée;dépense fiscale non-bornée;(nombre non déterminé) ménages;Ordre de grandeur;;Reconstitution de base taxable à partir de données déclaratives fiscales;80 quaterdecies, 200 A-6 bis;Engagements financiers de l'État / Épargne (P145);;B;84
2017;120506;Impôt sur le revenu;depense_fiscale;Imposition au taux forfaitaire de 30 % de l'avantage (« gain d'acquisition ») résultant de l'attribution d'actions gratuites avant le 28 septembre 2012;Développer la distribution d'actions gratuites;2004;2012;dépense fiscale non-bornée;dépense fiscale non-bornée;(nombre non déterminé) ménages;Ordre de grandeur;;Reconstitution de base taxable à partir de données déclaratives fiscales;80 quaterdecies, 200 A-6 bis;Engagements financiers de l'État / Épargne (P145);;B;84
2018;120506;Impôt sur le revenu;depense_fiscale;Imposition au taux forfaitaire de 30 % de l'avantage (« gain d'acquisition ») résultant de l'attribution d'actions gratuites avant le 28 septembre 2012;;2004;2012;dépense fiscale non-bornée;dépense fiscale non-bornée;4 365 ménages;Ordre de grandeur;;Reconstitution de base taxable à partir de données déclaratives fiscales;80 quaterdecies, 200 A-6 bis PLF 2018                                                                                   87 Traitements, salaires, pensions et rentes viagères                            2016      2017       2018 N° de la mesure                                                         Mesure;Engagements financiers de l'État / Épargne (P145);;B;86
2019;120506;Impôt sur le revenu;depense_fiscale;Imposition au taux forfaitaire de 30 % de l'avantage (« gain d'acquisition ») résultant de l'attribution d'actions gratuites avant le 28 septembre 2012;;2004;2012;dépense fiscale non-bornée;dépense fiscale non-bornée;4 675 ménages;Ordre de grandeur;;Reconstitution de base taxable à partir de données déclaratives fiscales;80 quaterdecies, 200 A-6 bis;Engagements financiers de l'État / Épargne (P145);;B;90
2020;120506;Impôt sur le revenu;depense_fiscale;Imposition au taux forfaitaire de 30 % de l'avantage (« gain d'acquisition ») résultant de l'attribution d'actions gratuites avant le 28 septembre 2012;;2004;2012;2012;non bornée;4 681 Menages;Ordre de grandeur;;Reconstitution de base taxable à partir de données déclaratives fiscales;code général des impôts 80 quaterdecies, 200 A-6 bis;Engagements financiers de l'État/ P145 Épargne;;C;
2021;120506;Impôt sur le revenu;depense_fiscale;Imposition au taux forfaitaire de 30 % de l'avantage (« gain d'acquisition ») résultant de l'attribution d'actions gratuites avant le 28 septembre 2012;Développer la distribution d'actions gratuites;2004;2012;2012;non bornée;700 Menages;Ordre de grandeur;;Reconstitution de base taxable à partir de données déclaratives fiscales;code général des impôts 80 quaterdecies, 200 A-6 bis;Engagements financiers de l'État/ P145 Épargne;;C;92
2022;120506;Impôt sur le revenu;depense_fiscale;Imposition au taux forfaitaire de 30 % de l'avantage (« gain d'acquisition ») résultant de l'attribution d'actions gratuites avant le 28 septembre 2012;Développer la distribution d'actions gratuites;2004;2012;2012;non bornée;900 Ménages;Ordre de grandeur;;Simulation;code général des impôts 80 quaterdecies, 200 A-6 bis;Engagements financiers de l'État/ P145 Épargne;;C;92
2023;120506;Impôt sur le revenu;depense_fiscale;Imposition au taux forfaitaire de 30 % de l'avantage (« gain d'acquisition ») résultant de l'attribution d'actions gratuites avant le 28 septembre 2012;Développer la distribution d'actions gratuites;2004;2012;2012;non bornée;500 Ménages;Ordre de grandeur;"Barème progressif de l'impôt sur le revenu dans la catégorie ""traitements et salaires"" de l'ensemble des revenus";Simulation;code général des impôts 80 quaterdecies, 200 A-6 bis;Engagements financiers de l'État/ P145 Épargne;;C;92
2024;120506;Impôt sur le revenu;depense_fiscale;Imposition au taux forfaitaire de 30 % de l'avantage (« gain d'acquisition ») résultant de l'attribution d'actions gratuites avant le 28 septembre 2012;Développer la distribution d'actions gratuites;2004;2012;2012;non bornée;1 200 Ménages;Ordre de grandeur;"Barème progressif de l'impôt sur le revenu dans la catégorie ""traitements et salaires"" de l'ensemble des";Simulation;code général des impôts 80 quaterdecies, 200 A-6 bis;Engagements financiers de l'État/ P145 Épargne;;C;92
2025;120506;Impôt sur le revenu;depense_fiscale;Imposition au taux forfaitaire de 30 % de l'avantage (« gain d'acquisition ») résultant de l'attribution d'actions gratuites avant le 28 septembre 2012;Développer la distribution d'actions gratuites;2004;2012;2012;non bornée;1 100 Ménages;Ordre de grandeur;"Barème progressif de l'impôt sur le revenu dans la catégorie ""traitements et salaires"" de l'ensemble des";Simulation;code général des impôts 80 quaterdecies, 200 A-6 bis;Engagements financiers de l'État/ P145 Épargne;;C;92
2009;120507;Impôt sur le revenu;depense_fiscale;Étalement sur quatre ans de l’imposition du montant des droits transférés d’un compte épargne-temps vers un plan d’épargne pour la retraite collectif (PERCO) ou d’un plan d’épargne entreprise investi en titres de l’entreprise ou assimilés et de la fraction imposable des indemnités de départ volontaire en retraite ou de mise à la retraite;Augmenter l’épargne des salariés dans le capital de leur entreprise ou pour la retraite;1988;2006;;;(nombre non déterminé) ménages;Ordre de grandeur;;Reconstitution de base taxable à partir de données autres que fiscales;163 A;Travail et emploi / Accompagnement des mutations économiques et développement de l’emploi (P103);;B;60
2010;120507;Impôt sur le revenu;depense_fiscale;Etalement sur quatre ans de l’imposition du montant des droits transférés d’un compte épargne-temps vers un plan d’épargne pour la retraite collectif (PERCO) ou d’un plan d’épargne entreprise investi en titres de l’entreprise ou assimilés et de la fraction imposable des indemnités de départ volontaire en retraite ou de mise à la retraite;Augmenter l’épargne des salariés dans le capital de leur entreprise ou pour la retraite;1988;2006;;;(nombre non déterminé) ménages;Ordre de grandeur;;Reconstitution de base taxable à partir de données autres que fiscales;163 A;Travail et emploi / Accompagnement des mutations économiques et développement de l’emploi (P103);;B;70
2011;120507;Impôt sur le revenu;depense_fiscale;Etalement sur quatre ans de l’imposition du montant des droits transférés d’un compte épargne-temps vers un plan d’épargne pour la retraite collectif (PERCO) ou d’un plan d’épargne entreprise investi en titres de l’entreprise ou assimilés et de la fraction imposable des indemnités de départ volontaire en retraite ou de mise à la retraite;Augmenter l’épargne des salariés dans le capital de leur entreprise ou pour la retraite;1988;2006;dépense fiscale non-bornée Fin d’incidence budgétaire : dépense fiscale non-bornée;;(nombre non déterminé) ménages;Ordre de grandeur;;Reconstitution de base taxable à partir de données autres que fiscales;163 A;Travail et emploi / Accompagnement des mutations économiques et développement de l’emploi (P103);;B;62
2012;120507;Impôt sur le revenu;depense_fiscale;Etalement sur quatre ans de l’imposition du montant des droits transférés d’un compte épargne-temps vers un plan d’épargne pour la retraite collectif (PERCO) ou d’un plan d’épargne entreprise investi en titres de l’entreprise ou assimilés et de la fraction imposable des indemnités de départ volontaire en retraite ou de mise à la retraite;Augmenter l’épargne des salariés dans le capital de leur entreprise ou pour la retraite;1988;2006;dépense fiscale non-bornée Fin d’incidence budgétaire : dépense fiscale non-bornée;;(nombre non déterminé) ménages;Ordre de grandeur;;Reconstitution de base taxable à partir de données autres que fiscales;163 A PLF 2012                                                                 95 Numéro                               Traitements, salaires, pensions et rentes viagères                                 2010        2011         2012 de la mesure                                                     Mesure;Travail et emploi / Accompagnement des mutations économiques et développement de l’emploi (P103);;B;94
2013;120507;Impôt sur le revenu;depense_fiscale;Etalement sur quatre ans de l’imposition du montant des droits transférés d’un compte épargne-temps vers un plan d’épargne pour la retraite collectif (PERCO) ou d’un plan d’épargne entreprise investi en titres de l’entreprise ou assimilés et de la fraction imposable des indemnités de départ volontaire en retraite ou de mise à la retraite;Augmenter l’épargne des salariés dans le capital de leur entreprise ou pour la retraite;1988;2006;dépense fiscale non-bornée Fin d’incidence budgétaire : dépense fiscale non-bornée;;(nombre non déterminé) ménages;Ordre de grandeur;;Reconstitution de base taxable à partir de données autres que fiscales;163 A;Travail et emploi / Accompagnement des mutations économiques et développement de l’emploi (P103);;B;92
2014;120507;Impôt sur le revenu;depense_fiscale;Etalement sur quatre ans de l’imposition du montant des droits transférés d’un compte épargne-temps vers un plan d’épargne pour la retraite collectif (PERCO) ou d’un plan d’épargne entreprise investi en titres de l’entreprise ou assimilés et de la fraction imposable des indemnités de départ volontaire en retraite ou de mise à la retraite;Augmenter l’épargne des salariés dans le capital de leur entreprise ou pour la retraite;1988;2006;dépense fiscale non-bornée;dépense fiscale non-bornée;(nombre non déterminé) ménages;;;;163 A;Travail et emploi / Accompagnement des mutations économiques et développement de l’emploi (P103);;B;94
2015;120507;Impôt sur le revenu;depense_fiscale;Etalement sur quatre ans de l’imposition du montant des droits transférés d’un compte épargne-temps vers un plan d’épargne pour la retraite collectif (PERCO) ou d’un plan d’épargne entreprise investi en titres de l’entreprise ou assimilés et de la fraction imposable des indemnités de départ volontaire en retraite ou de mise à la retraite;Augmenter l’épargne des salariés dans le capital de leur entreprise ou pour la retraite;1988;2006;dépense fiscale non-bornée;dépense fiscale non-bornée;(nombre non déterminé) ménages;;;;163 A;Travail et emploi / Accompagnement des mutations économiques et développement de l’emploi (P103);;B;96
2016;120507;Impôt sur le revenu;depense_fiscale;Etalement sur quatre ans de l'imposition du montant des droits transférés d'un compte épargne-temps vers un plan d'épargne pour la retraite collectif (PERCO) ou d'un plan d'épargne entreprise investi en titres de l'entreprise ou assimilés et de la fraction imposable des indemnités de départ volontaire en retraite ou de mise à la retraite;Augmenter l'épargne des salariés dans le capital de leur entreprise ou pour la retraite;1988;2006;dépense fiscale non-bornée;dépense fiscale non-bornée;(nombre non déterminé) ménages;;;;163 A;Travail et emploi / Accompagnement des mutations économiques et développement de l'emploi (P103);;B;84
2017;120507;Impôt sur le revenu;depense_fiscale;Etalement sur quatre ans de l'imposition du montant des droits transférés d'un compte épargne-temps vers un plan d'épargne pour la retraite collectif (PERCO) ou d'un plan d'épargne entreprise investi en titres de l'entreprise ou assimilés et de la fraction imposable des indemnités de départ volontaire en retraite ou de mise à la retraite;Augmenter l'épargne des salariés dans le capital de leur entreprise ou pour la retraite;1988;2006;dépense fiscale non-bornée;dépense fiscale non-bornée;(nombre non déterminé) ménages;;;;163 A;Travail et emploi / Accompagnement des mutations économiques et développement de l'emploi (P103);;B;84
2018;120507;Impôt sur le revenu;depense_fiscale;Etalement sur quatre ans de l'imposition du montant des droits transférés d'un compte épargne-temps vers un plan d'épargne pour la retraite collectif (PERCO) ou d'un plan d'épargne entreprise investi en titres de l'entreprise ou assimilés et de la fraction imposable des indemnités de départ volontaire en retraite ou de mise à la retraite;;1988;2006;dépense fiscale non-bornée;dépense fiscale non-bornée;(nombre non déterminé) ménages;;;;163 A;Travail et emploi / Accompagnement des mutations économiques et développement de l'emploi (P103);;B;86
2019;120507;Impôt sur le revenu;depense_fiscale;Etalement sur quatre ans de l'imposition du montant des droits transférés d'un compte épargne-temps vers un plan d'épargne pour la retraite collectif (PERCO) ou d'un plan d'épargne entreprise investi en titres de l'entreprise ou assimilés et de la fraction imposable des indemnités de départ volontaire en retraite ou de mise à la retraite;;1988;2006;dépense fiscale non-bornée;dépense fiscale non-bornée;(nombre non déterminé) ménages;;;;163 A Traitements, salaires, pensions et rentes viagères                     2017    2018       2019 N° de la mesure                                                          Mesure;Travail et emploi / Accompagnement des mutations économiques et développement de l'emploi (P103);;B;90
2020;120507;Impôt sur le revenu;depense_fiscale;d'épargne pour la retraite collectif (PERCO) ou d'un plan d'épargne entreprise investi en titres de l'entreprise ou assimilés et de la fraction imposable des indemnités de départ volontaire en retraite ou de mise à la retraite;;1988;2006;non borné;non bornée;Non déterminé;;;;code général des impôts 163 A;Travail et emploi/ P103 Accompagnement des mutations économiques et développement de l'emploi;;C;
2021;120507;Impôt sur le revenu;depense_fiscale;d'épargne pour la retraite collectif (PERCO) ou d'un plan d'épargne entreprise investi en titres de l'entreprise ou assimilés et de la fraction imposable des indemnités de départ volontaire en retraite ou de mise à la retraite;Augmenter l'épargne des salariés dans le capital de leur entreprise ou pour la retraite;1988;2019;2019;2024;Non déterminé;;;;code général des impôts 163 A;Travail et emploi/ P103 Accompagnement des mutations économiques et développement de l'emploi;;C;92
2022;120507;Impôt sur le revenu;depense_fiscale;d'épargne pour la retraite collectif (PERCO) ou d'un plan d'épargne entreprise investi en titres de l'entreprise ou assimilés et de la fraction imposable des indemnités de départ volontaire en retraite ou de mise à la retraite;Augmenter l'épargne des salariés dans le capital de leur entreprise ou pour la retraite;1988;2019;2019;2024;Non déterminé;;;;code général des impôts 163 A;Travail et emploi/ P103 Accompagnement des mutations économiques et développement de l'emploi;;C;92
2023;120507;Impôt sur le revenu;depense_fiscale;Etalement sur quatre ans de l'imposition du montant des droits transférés d'un compte épargne-temps vers un plan d'épargne pour la retraite collectif (PERCO) ou d'un plan d'épargne entreprise investi en titres de l'entreprise ou assimilés et de la fraction imposable des indemnités de départ volontaire en retraite ou de mise à la retraite;Augmenter l'épargne des salariés dans le capital de leur entreprise ou pour la retraite;1988;2019;2019;2024;Non déterminé;;"Barème progressif de l'impôt sur le revenu dans la catégorie ""traitements et salaires"" de l'ensemble des revenus";;code général des impôts 163 A;Travail et emploi/ P103 Accompagnement des mutations économiques et développement de l'emploi;;C;92
2024;120507;Impôt sur le revenu;depense_fiscale;Etalement sur quatre ans de l'imposition du montant des droits transférés d'un compte épargne-temps vers un plan d'épargne pour la retraite collectif (PERCO) ou d'un plan d'épargne entreprise investi en titres de l'entreprise ou assimilés et de la fraction imposable des indemnités de départ volontaire en retraite ou de mise à la retraite;Augmenter l'épargne des salariés dans le capital de leur entreprise ou pour la retraite;1988;2019;2019;2023;Non déterminé;;"Barème progressif de l'impôt sur le revenu dans la catégorie ""traitements et salaires"" de l'ensemble des";;code général des impôts 163 A;Travail et emploi/ P103 Accompagnement des mutations économiques et développement de l'emploi;;C;92
2025;120507;Impôt sur le revenu;depense_fiscale;Etalement sur quatre ans de l'imposition du montant des droits transférés d'un compte épargne-temps vers un plan d'épargne pour la retraite collectif (PERCO) ou d'un plan d'épargne entreprise investi en titres de l'entreprise ou assimilés et de la fraction imposable des indemnités de départ volontaire en retraite ou de mise à la retraite;Augmenter l'épargne des salariés dans le capital de leur entreprise ou pour la retraite;1988;2019;2019;2023;Non déterminé;;"Barème progressif de l'impôt sur le revenu dans la catégorie ""traitements et salaires"" de l'ensemble des";;code général des impôts 163 A;Travail, emploi et administration des ministères sociaux/ P103 Accompagnement des mutations;;C;92
2009;120508;Impôt sur le revenu;depense_fiscale;Etalement sur 5 ans de l’imposition du versement en capital issu d’un plan d’épargne retraite populaire (PERP) au titre de la primo-accession à la propriété de la résidence principale lors de la retraite;Aider les personnes retraitées à acquérir leur logement Missions et programmes à    Engagements financiers de l’État / Épargne (P145) titre subsidiaire :;2006;2006;;;(nombre non déterminé) ménages;Ordre de grandeur;;Reconstitution de base taxable à partir de données autres que fiscales;163 bis PLF 2009                                                               61 REVENUS FONCIERS Numéro                                                Revenus fonciers                                                    2007      2008         2009 de la mesure                                                     Mesure;Ville et logement / Développement et amélioration de l’offre de logement (P135);;B;60
2010;120508;Impôt sur le revenu;depense_fiscale;Etalement sur 5 ans de l’imposition du versement en capital issu d’un plan d’épargne retraite populaire (PERP) au titre de la primo-accession à la propriété de la résidence principale lors de la retraite;Aider les personnes retraitées à acquérir leur logement Missions et programmes à    Engagements financiers de l’État / Épargne (P145) titre subsidiaire :;2006;2006;;;(nombre non déterminé) ménages;Ordre de grandeur;;Reconstitution de base taxable à partir de données autres que fiscales;163 bis PLF 2010                                                               71 REVENUS FONCIERS Numéro                                                Revenus fonciers                                                    2008      2009         2010 de la mesure                                                     Mesure;Ville et logement / Développement et amélioration de l’offre de logement (P135);;B;70
2011;120508;Impôt sur le revenu;depense_fiscale;Etalement sur 5 ans de l’imposition du versement en capital issu d’un plan d’épargne retraite populaire (PERP) au titre de la primo-accession à la propriété de la résidence principale lors de la retraite;Aider les personnes retraitées à acquérir leur logement Missions et programmes à    Engagements financiers de l’État / Épargne (P145) titre subsidiaire :;2006;2006;dépense fiscale non-bornée Fin d’incidence budgétaire : dépense fiscale non-bornée;;(nombre non déterminé) ménages;Ordre de grandeur;;Reconstitution de base taxable à partir de données autres que fiscales;163 bis REVENUS FONCIERS Numéro                                                Revenus fonciers                                                 2009   2010         2011 de la mesure                                                     Mesure;Ville et logement / Développement et amélioration de l’offre de logement (P135);;B;62
2012;120508;Impôt sur le revenu;depense_fiscale;Etalement sur 5 ans de l’imposition du versement en capital issu d’un plan d’épargne retraite populaire (PERP) au titre de la primo-accession à la propriété de la résidence principale lors de la retraite;Aider les personnes retraitées à acquérir leur logement Missions et programmes à    Engagements financiers de l’État / Épargne (P145) titre subsidiaire :;2006;2012;dépense fiscale non-bornée Fin d’incidence budgétaire : dépense fiscale non-bornée;;(nombre non déterminé) ménages;Ordre de grandeur;;Reconstitution de base taxable à partir de données autres que fiscales;158-5-b quinquies et 163 bis REVENUS FONCIERS Numéro                                                Revenus fonciers                                                 2010   2011         2012 de la mesure                                                     Mesure;Ville et logement / Développement et amélioration de l’offre de logement (P135);;B;94
2013;120508;Impôt sur le revenu;depense_fiscale;Prélèvement libératoire, sur option, au taux de 7,5% sur les prestations de retraite servies sous forme de capital à compter de 2011. Etalement sur 5 ans de l’imposition du versement en capital issu d’un plan d’épargne retraite populaire avant 2011;Aider les personnes retraitées à acquérir leur logement Missions et programmes à    Engagements financiers de l’État / Épargne (P145) titre subsidiaire :;2006;2011;dépense fiscale non-bornée Fin d’incidence budgétaire : dépense fiscale non-bornée;;(nombre non déterminé) ménages;Ordre de grandeur;;Reconstitution de base taxable à partir de données autres que fiscales;158-5-b quinquies et 163 bis REVENUS FONCIERS Numéro                                                Revenus fonciers                                                        2011   2012         2013;Égalité des territoires, logement et ville / Urbanisme, territoires et amélioration de l’habitat (P135);;B;92
2014;120508;Impôt sur le revenu;depense_fiscale;Prélèvement libératoire, sur option, au taux de 7,5% sur les prestations de retraite servies sous forme de capital à compter de 2011. Etalement sur 5 ans de l’imposition du versement en capital issu d’un plan d’épargne retraite populaire avant 2011;Aider les personnes retraitées à acquérir leur logement Missions et programmes      Engagements financiers de l’État / Épargne (P145) à titre subsidiaire :;2006;2011;dépense fiscale non-bornée;dépense fiscale non-bornée;(nombre non déterminé) ménages;;;;158-5-b quinquies et 163 bis PLF 2014                                                                 95 REVENUS FONCIERS Numéro                                                Revenus fonciers                                                        2012     2013         2014 de la mesure                                                      Mesure;Égalité des territoires, logement et ville / Urbanisme, territoires et amélioration de l’habitat (P135);;B;94
2015;120508;Impôt sur le revenu;depense_fiscale;Prélèvement libératoire, sur option, au taux de 7,5% sur les prestations de retraite servies sous forme de capital à compter de 2011. Etalement sur 5 ans de l’imposition du versement en capital issu d’un plan d’épargne retraite populaire avant 2011;Aider les personnes retraitées à acquérir leur logement Missions et programmes      Engagements financiers de l’État / Épargne (P145) à titre subsidiaire :;2006;2011;dépense fiscale non-bornée;dépense fiscale non-bornée;(nombre non déterminé) ménages;;;;158-5-b quinquies et 163 bis PLF 2015                                                                 97 REVENUS FONCIERS Numéro                                                Revenus fonciers                                                       2013     2014         2015 de la mesure                                                      Mesure;Égalité des territoires et logement / Urbanisme, territoires et amélioration de l’habitat (P135);;B;96
2016;120508;Impôt sur le revenu;depense_fiscale;Prélèvement libératoire, sur option, au taux de 7,5% sur les prestations de retraite servie sous forme de capital à compter de 2011. Etalement sur 5 ans de l’imposition du versement en capital issu d’un plan d’épargne retraite populaire avant 2011;Aider les personnes retraitées à acquérir leur logement Missions et programmes Engagements financiers de l'État / Épargne (P145) à titre subsidiaire :;2006;2011;dépense fiscale non-bornée;dépense fiscale non-bornée;(nombre non déterminé) ménages;;;;158-5-b quinquies et 163 bis PLF 2016                                                                                   85 REVENUS FONCIERS Revenus fonciers                                            2014      2015       2016 N° de la mesure                                                           Mesure;Égalité des territoires et logement / Urbanisme, territoires et amélioration de l'habitat (P135);;B;84
2017;120508;Impôt sur le revenu;depense_fiscale;Prélèvement libératoire, sur option, au taux de 7,5% sur les prestations de retraite servies sous forme de capital à compter de 2011. Etalement sur 5 ans de l’imposition du versement en capital issu d’un plan d’épargne retraite populaire avant 2011;Aider les personnes retraitées à acquérir leur logement Missions et programmes Engagements financiers de l'État / Épargne (P145) à titre subsidiaire :;2006;2011;dépense fiscale non-bornée;dépense fiscale non-bornée;(nombre non déterminé) ménages;Bonne;;Simulation;158-5-b quinquies et 163 bis Traitements, salaires, pensions et rentes viagères              2015    2016       2017 N° de la mesure                                                          Mesure;Égalité des territoires et logement / Urbanisme, territoires et amélioration de l'habitat (P135);oui;B;84
