numero;annee;impot;prevu;realise;ecart
800101;2001;TICPE / produits énergétiques hors gaz et charbons;1520;210;-1310
730216;2018;Taxe sur la valeur ajoutée;158;1460;1302
110222;2009;Impôt sur le revenu;1500;2763;1263
730210;2019;Taxe sur la valeur ajoutée;2450;1190;-1260
070101;2008;Impôts locaux;7;1227;1220
730210;2018;Taxe sur la valeur ajoutée;2155;950;-1205
070101;2007;Impôts locaux;5;1207;1202
100111;2001;Impôt sur le revenu;1400;205;-1195
140109;2001;Impôt sur le revenu;1500;305;-1195
110306;2002;Impôt sur le revenu;1326;137;-1189
170103;2001;Impôt sur le revenu;1300;115;-1185
410202;2001;Autres impôts directs;1380;217;-1163
710103;2008;Taxe sur la valeur ajoutée;0;1160;1160
120109;2001;Impôt sur le revenu;1300;150;-1150
110214;2008;Impôt sur le revenu;0;1110;1110
210324;2021;Impôt sur le revenu et impôt sur les sociétés;8027;6920;-1107
110103;2001;Impôt sur le revenu;1300;200;-1100
800201;2007;TICPE / produits énergétiques hors gaz et charbons;0;1100;1100
730303;2008;Taxe sur la valeur ajoutée;0;1100;1100
800201;2008;TICPE / produits énergétiques hors gaz et charbons;0;1100;1100
730303;2007;Taxe sur la valeur ajoutée;0;1070;1070
200302;2012;Impôt sur le revenu et impôt sur les sociétés;2300;3370;1070
800107;2001;TICPE / produits énergétiques hors gaz et charbons;1250;181;-1069
110302;2001;Impôt sur le revenu;1250;190;-1060
140104;2001;Impôt sur le revenu;1200;160;-1040
730223;2023;Taxe sur la valeur ajoutée;2000;970;-1030
730305;2001;Taxe sur la valeur ajoutée;1200;193;-1007
110227;2002;Impôt sur le revenu;1220;214;-1006
800109;2010;TICPE / produits énergétiques hors gaz et charbons;3500;2500;-1000
710103;2021;Taxe sur la valeur ajoutée;2110;3100;990
800201;2011;TICPE / produits énergétiques hors gaz et charbons;1100;2080;980
730216;2019;Taxe sur la valeur ajoutée;180;1160;980
200302;2011;Impôt sur le revenu et impôt sur les sociétés;2100;3070;970
200302;2020;Impôt sur le revenu et impôt sur les sociétés;6500;7460;960
130201;2004;Impôt sur le revenu;0;950;950
730210;2008;Taxe sur la valeur ajoutée;0;950;950
320117;2002;Impôt sur les sociétés;1067;121;-946
110246;2021;Impôt sur le revenu;3800;4734;934
820203;2022;TICFE / électricité;1245;314;-931
120203;2001;Impôt sur le revenu;1100;181;-919
110203;2001;Impôt sur le revenu;1100;183;-917
730203;2001;Taxe sur la valeur ajoutée;1140;236;-904
740104;2001;Taxe sur la valeur ajoutée;1150;250;-900
200302;2010;Impôt sur le revenu et impôt sur les sociétés;4000;4900;900
210324;2022;Impôt sur le revenu et impôt sur les sociétés;6423;5525;-898
800210;2020;TICPE / produits énergétiques hors gaz et charbons;903;8;-895
130201;2005;Impôt sur le revenu;990;100;-890
800201;2002;TICPE / produits énergétiques hors gaz et charbons;976;100;-876
120111;2001;Impôt sur le revenu;1000;149;-851
130201;2008;Impôt sur le revenu;0;850;850
110246;2022;Impôt sur le revenu;4850;5670;820
120204;2001;Impôt sur le revenu;960;148;-812
710103;2006;Taxe sur la valeur ajoutée;910;101;-809
120304;2001;Impôt sur le revenu;900;105;-795
800107;2008;TICPE / produits énergétiques hors gaz et charbons;0;790;790
230602;2001;Impôt sur le revenu et impôt sur les sociétés;1000;215;-785
140119;2023;Impôt sur le revenu;1317;532;-785
730213;2011;Taxe sur la valeur ajoutée;5050;5800;750
110222;2001;Impôt sur le revenu;800;63;-737
800405;2018;TICPE / produits énergétiques hors gaz et charbons;247;984;737
320104;2001;Impôt sur les sociétés;800;78;-722
150708;2006;Impôt sur le revenu;820;100;-720
730205;2009;Taxe sur la valeur ajoutée;1610;890;-720
800201;2018;TICPE / produits énergétiques hors gaz et charbons;1965;1250;-715
130201;2007;Impôt sur le revenu;100;800;700
800401;2012;TICPE / produits énergétiques hors gaz et charbons;99;795;696
820203;2017;TICFE / électricité;320;1014;694
200302;2014;Impôt sur le revenu et impôt sur les sociétés;5800;5108;-692
800201;2012;TICPE / produits énergétiques hors gaz et charbons;1000;1690;690
730223;2015;Taxe sur la valeur ajoutée;1770;1080;-690
120108;2023;Impôt sur le revenu;2060;2750;690
140119;2022;Impôt sur le revenu;1289;607;-682
420101;2001;Autres impôts directs;730;55;-675
210101;2001;Impôt sur le revenu et impôt sur les sociétés;860;189;-671
180303;2001;Impôt sur le revenu;780;120;-660
710103;2020;Taxe sur la valeur ajoutée;2185;2840;655
310203;2001;Impôt sur les sociétés;880;228;-652
730210;2017;Taxe sur la valeur ajoutée;1800;2450;650
800401;2013;TICPE / produits énergétiques hors gaz et charbons;104;740;636
230409;2001;Impôt sur le revenu et impôt sur les sociétés;730;95;-635
