millesime,case,sum,label,ntot
2022,_911327,1891727.034,Installations industrielles au sein de sites IEI (ou d'entreprises industrielles électro-intensive) dont la consommation est strictement supérieure à 3kWh par € de VA - TICFE Fournisseur - Taux réduits - Quantité,3106
2023,_911327,64134.285,Installations industrielles au sein de sites IEI (ou d'entreprises industrielles électro-intensive) dont la consommation est strictement supérieure à 3kWh par € de VA - TICFE Fournisseur - Taux réduits - Quantité,3215
2024,_911327,108324.497,Installations industrielles au sein de sites IEI (ou d'entreprises industrielles électro-intensive) dont la consommation est strictement supérieure à 3kWh par € de VA - TICFE Fournisseur - Taux réduits - Quantité,3234
2025,_911327,80646.327,Installations industrielles au sein de sites IEI (ou d'entreprises industrielles électro-intensive) dont la consommation est strictement supérieure à 3kWh par € de VA - TICFE Fournisseur - Taux réduits - Quantité,2057
2022,_911328,3783454.05,Installations industrielles au sein de sites IEI (ou d'entreprises industrielles électro-intensive) dont la consommation est strictement supérieure à 3kWh par € de VA - TICFE Fournisseur - Taux réduits - Montant,3106
2023,_911328,128268.57,Installations industrielles au sein de sites IEI (ou d'entreprises industrielles électro-intensive) dont la consommation est strictement supérieure à 3kWh par € de VA - TICFE Fournisseur - Taux réduits - Montant,3215
2024,_911328,216648.99,Installations industrielles au sein de sites IEI (ou d'entreprises industrielles électro-intensive) dont la consommation est strictement supérieure à 3kWh par € de VA - TICFE Fournisseur - Taux réduits - Montant,3234
2025,_911328,161292.64,Installations industrielles au sein de sites IEI (ou d'entreprises industrielles électro-intensive) dont la consommation est strictement supérieure à 3kWh par € de VA - TICFE Fournisseur - Taux réduits - Montant,2057
2022,_911329,1774962.346,"Installations industrielles au sein de sites IEI (ou d'entreprises industrielles électro-intensive) dont la consommation est comprise entre 1,5 et 3kWh par € de VA - TICFE Fournisseur - Taux réduits - Quantité",3106
2023,_911329,19322.134,"Installations industrielles au sein de sites IEI (ou d'entreprises industrielles électro-intensive) dont la consommation est comprise entre 1,5 et 3kWh par € de VA - TICFE Fournisseur - Taux réduits - Quantité",3215
2024,_911329,81726.703,"Installations industrielles au sein de sites IEI (ou d'entreprises industrielles électro-intensive) dont la consommation est comprise entre 1,5 et 3kWh par € de VA - TICFE Fournisseur - Taux réduits - Quantité",3234
2025,_911329,13487.734,"Installations industrielles au sein de sites IEI (ou d'entreprises industrielles électro-intensive) dont la consommation est comprise entre 1,5 et 3kWh par € de VA - TICFE Fournisseur - Taux réduits - Quantité",2057
2022,_911330,8874811.93,"Installations industrielles au sein de sites IEI (ou d'entreprises industrielles électro-intensive) dont la consommation est comprise entre 1,5 et 3kWh par € de VA - TICFE Fournisseur - Taux réduits - Montant",3106
2023,_911330,96610.69,"Installations industrielles au sein de sites IEI (ou d'entreprises industrielles électro-intensive) dont la consommation est comprise entre 1,5 et 3kWh par € de VA - TICFE Fournisseur - Taux réduits - Montant",3215
2024,_911330,408633.53,"Installations industrielles au sein de sites IEI (ou d'entreprises industrielles électro-intensive) dont la consommation est comprise entre 1,5 et 3kWh par € de VA - TICFE Fournisseur - Taux réduits - Montant",3234
2025,_911330,67438.7,"Installations industrielles au sein de sites IEI (ou d'entreprises industrielles électro-intensive) dont la consommation est comprise entre 1,5 et 3kWh par € de VA - TICFE Fournisseur - Taux réduits - Montant",2057
2022,_911331,5087935.853,"Installations industrielles au sein de sites IEI (ou d'entreprises industrielles électro-intensive) dont la consommation est strictement inférieure à 1,5kWh par € de VA - TICFE Fournisseur - Taux réduits - Quantité",3106
2023,_911331,57560.77,"Installations industrielles au sein de sites IEI (ou d'entreprises industrielles électro-intensive) dont la consommation est strictement inférieure à 1,5kWh par € de VA - TICFE Fournisseur - Taux réduits - Quantité",3215
2024,_911331,156011.407,"Installations industrielles au sein de sites IEI (ou d'entreprises industrielles électro-intensive) dont la consommation est strictement inférieure à 1,5kWh par € de VA - TICFE Fournisseur - Taux réduits - Quantité",3234
2025,_911331,118613.804,"Installations industrielles au sein de sites IEI (ou d'entreprises industrielles électro-intensive) dont la consommation est strictement inférieure à 1,5kWh par € de VA - TICFE Fournisseur - Taux réduits - Quantité",2057
2022,_911332,38159519.05,"Installations industrielles au sein de sites IEI (ou d'entreprises industrielles électro-intensive) dont la consommation est strictement inférieure à 1,5kWh par € de VA - TICFE Fournisseur - Taux réduits - Montant",3106
2023,_911332,431705.82,"Installations industrielles au sein de sites IEI (ou d'entreprises industrielles électro-intensive) dont la consommation est strictement inférieure à 1,5kWh par € de VA - TICFE Fournisseur - Taux réduits - Montant",3215
2024,_911332,1170085.63,"Installations industrielles au sein de sites IEI (ou d'entreprises industrielles électro-intensive) dont la consommation est strictement inférieure à 1,5kWh par € de VA - TICFE Fournisseur - Taux réduits - Montant",3234
2025,_911332,889603.58,"Installations industrielles au sein de sites IEI (ou d'entreprises industrielles électro-intensive) dont la consommation est strictement inférieure à 1,5kWh par € de VA - TICFE Fournisseur - Taux réduits - Montant",2057
2022,_911333,1419597.092,Installations industrielles au sein de sites IEI (ou d'entreprises industrielles électro-intensive) exposées à un risque de fuite de carbone dont la consommation est strictement supérieure à 3kWh par € de VA - TICFE Fournisseur - T,3106
2023,_911333,103363.899,Installations industrielles au sein de sites IEI (ou d'entreprises industrielles électro-intensive) exposées à un risque de fuite de carbone dont la consommation est strictement supérieure à 3kWh par € de VA - TICFE Fournisseur - T,3215
2024,_911333,6926.896,Installations industrielles au sein de sites IEI (ou d'entreprises industrielles électro-intensive) exposées à un risque de fuite de carbone dont la consommation est strictement supérieure à 3kWh par € de VA - TICFE Fournisseur - T,3234
2025,_911333,62.955,Installations industrielles au sein de sites IEI (ou d'entreprises industrielles électro-intensive) exposées à un risque de fuite de carbone dont la consommation est strictement supérieure à 3kWh par € de VA - TICFE Fournisseur - T,2057
2022,_911334,1419597.12,Installations industrielles au sein de sites IEI (ou d'entreprises industrielles électro-intensive) exposées à un risque de fuite de carbone dont la consommation est strictement supérieure à 3kWh par € de VA - TICFE Fournisseur - T,3106
2023,_911334,103363.9,Installations industrielles au sein de sites IEI (ou d'entreprises industrielles électro-intensive) exposées à un risque de fuite de carbone dont la consommation est strictement supérieure à 3kWh par € de VA - TICFE Fournisseur - T,3215
2024,_911334,6926.89,Installations industrielles au sein de sites IEI (ou d'entreprises industrielles électro-intensive) exposées à un risque de fuite de carbone dont la consommation est strictement supérieure à 3kWh par € de VA - TICFE Fournisseur - T,3234
2025,_911334,62.96,Installations industrielles au sein de sites IEI (ou d'entreprises industrielles électro-intensive) exposées à un risque de fuite de carbone dont la consommation est strictement supérieure à 3kWh par € de VA - TICFE Fournisseur - T,2057
2022,_911335,567138.44,"Installations industrielles au sein de sites IEI (ou d'entreprises industrielles électro-intensive) exposées à un risque de fuite de carbone dont la consommation est comprise entre 1,5 et 3kWh par € de VA - TICFE Fournisseur - Taux",3106
2023,_911335,0,"Installations industrielles au sein de sites IEI (ou d'entreprises industrielles électro-intensive) exposées à un risque de fuite de carbone dont la consommation est comprise entre 1,5 et 3kWh par € de VA - TICFE Fournisseur - Taux",3215
2024,_911335,6649,"Installations industrielles au sein de sites IEI (ou d'entreprises industrielles électro-intensive) exposées à un risque de fuite de carbone dont la consommation est comprise entre 1,5 et 3kWh par € de VA - TICFE Fournisseur - Taux",3234
2025,_911335,7748.438,"Installations industrielles au sein de sites IEI (ou d'entreprises industrielles électro-intensive) exposées à un risque de fuite de carbone dont la consommation est comprise entre 1,5 et 3kWh par € de VA - TICFE Fournisseur - Taux",2057
2022,_911336,1417846.12,"Installations industrielles au sein de sites IEI (ou d'entreprises industrielles électro-intensive) exposées à un risque de fuite de carbone dont la consommation est comprise entre 1,5 et 3kWh par € de VA - TICFE Fournisseur - Taux",3106
2023,_911336,0,"Installations industrielles au sein de sites IEI (ou d'entreprises industrielles électro-intensive) exposées à un risque de fuite de carbone dont la consommation est comprise entre 1,5 et 3kWh par € de VA - TICFE Fournisseur - Taux",3215
2024,_911336,16622.5,"Installations industrielles au sein de sites IEI (ou d'entreprises industrielles électro-intensive) exposées à un risque de fuite de carbone dont la consommation est comprise entre 1,5 et 3kWh par € de VA - TICFE Fournisseur - Taux",3234
2025,_911336,19371.1,"Installations industrielles au sein de sites IEI (ou d'entreprises industrielles électro-intensive) exposées à un risque de fuite de carbone dont la consommation est comprise entre 1,5 et 3kWh par € de VA - TICFE Fournisseur - Taux",2057
2022,_911337,254405.84,"Installations industrielles au sein de sites IEI (ou d'entreprises industrielles électro-intensive) exposées à un risque de fuite de carbone dont la consommation est strictement inférieure à 1,5kWh par € de VA - TICFE Fournisseur -",3106
2023,_911337,1299.113,"Installations industrielles au sein de sites IEI (ou d'entreprises industrielles électro-intensive) exposées à un risque de fuite de carbone dont la consommation est strictement inférieure à 1,5kWh par € de VA - TICFE Fournisseur -",3215
2024,_911337,23985.216,"Installations industrielles au sein de sites IEI (ou d'entreprises industrielles électro-intensive) exposées à un risque de fuite de carbone dont la consommation est strictement inférieure à 1,5kWh par € de VA - TICFE Fournisseur -",3234
2025,_911337,3927.728,"Installations industrielles au sein de sites IEI (ou d'entreprises industrielles électro-intensive) exposées à un risque de fuite de carbone dont la consommation est strictement inférieure à 1,5kWh par € de VA - TICFE Fournisseur -",2057
2022,_911338,1399232.15,"Installations industrielles au sein de sites IEI (ou d'entreprises industrielles électro-intensive) exposées à un risque de fuite de carbone dont la consommation est strictement inférieure à 1,5kWh par € de VA - TICFE Fournisseur -",3106
2023,_911338,7145.12,"Installations industrielles au sein de sites IEI (ou d'entreprises industrielles électro-intensive) exposées à un risque de fuite de carbone dont la consommation est strictement inférieure à 1,5kWh par € de VA - TICFE Fournisseur -",3215
2024,_911338,131918.72,"Installations industrielles au sein de sites IEI (ou d'entreprises industrielles électro-intensive) exposées à un risque de fuite de carbone dont la consommation est strictement inférieure à 1,5kWh par € de VA - TICFE Fournisseur -",3234
2025,_911338,21602.52,"Installations industrielles au sein de sites IEI (ou d'entreprises industrielles électro-intensive) exposées à un risque de fuite de carbone dont la consommation est strictement inférieure à 1,5kWh par € de VA - TICFE Fournisseur -",2057
2022,_911339,3340256.13,Installation hyperélectro-intensive - TICFE Fournisseur - Taux réduits - Quantité,3106
2023,_911339,2471926.971,Installation hyperélectro-intensive - TICFE Fournisseur - Taux réduits - Quantité,3215
2024,_911339,4675211.578,Installation hyperélectro-intensive - TICFE Fournisseur - Taux réduits - Quantité,3234
2025,_911339,3103541.772,Installation hyperélectro-intensive - TICFE Fournisseur - Taux réduits - Quantité,2057
2022,_911340,1670128.08,Installation hyperélectro-intensive - TICFE Fournisseur - Taux réduits - Montant,3106
2023,_911340,1235963.51,Installation hyperélectro-intensive - TICFE Fournisseur - Taux réduits - Montant,3215
2024,_911340,2337605.83,Installation hyperélectro-intensive - TICFE Fournisseur - Taux réduits - Montant,3234
2025,_911340,1551770.93,Installation hyperélectro-intensive - TICFE Fournisseur - Taux réduits - Montant,2057
2022,_911341,11294737.587,"Transport de personnes et de marchandises par train, métro, tramway, câble, autobus hybride rechargeable ou électrique et trolleybus - TICFE Fournisseur - Taux réduits - Quantité",3106
2023,_911341,8054598.332,"Transport de personnes et de marchandises par train, métro, tramway, câble, autobus hybride rechargeable ou électrique et trolleybus - TICFE Fournisseur - Taux réduits - Quantité",3215
2024,_911341,9141346.825,"Transport de personnes et de marchandises par train, métro, tramway, câble, autobus hybride rechargeable ou électrique et trolleybus - TICFE Fournisseur - Taux réduits - Quantité",3234
2025,_911341,7523608.933,"Transport de personnes et de marchandises par train, métro, tramway, câble, autobus hybride rechargeable ou électrique et trolleybus - TICFE Fournisseur - Taux réduits - Quantité",2057
2022,_911342,5647368.83,"Transport de personnes et de marchandises par train, métro, tramway, câble, autobus hybride rechargeable ou électrique et trolleybus - TICFE Fournisseur - Taux réduits - Montant",3106
2023,_911342,4027299.19,"Transport de personnes et de marchandises par train, métro, tramway, câble, autobus hybride rechargeable ou électrique et trolleybus - TICFE Fournisseur - Taux réduits - Montant",3215
2024,_911342,4570673.42,"Transport de personnes et de marchandises par train, métro, tramway, câble, autobus hybride rechargeable ou électrique et trolleybus - TICFE Fournisseur - Taux réduits - Montant",3234
2025,_911342,3761804.49,"Transport de personnes et de marchandises par train, métro, tramway, câble, autobus hybride rechargeable ou électrique et trolleybus - TICFE Fournisseur - Taux réduits - Montant",2057
2022,_911343,302435.795,"Centres de stockage de données numériques avec consommations annuelles >= 1kWh par € de la VA, pour les quantités excédant 1 Gwh par an - TICFE Fournisseur - Taux réduits - Quantité",3106
2023,_911343,0,"Centres de stockage de données numériques avec consommations annuelles >= 1kWh par € de la VA, pour les quantités excédant 1 Gwh par an - TICFE Fournisseur - Taux réduits - Quantité",3215
2024,_911343,0,"Centres de stockage de données numériques avec consommations annuelles >= 1kWh par € de la VA, pour les quantités excédant 1 Gwh par an - TICFE Fournisseur - Taux réduits - Quantité",3234
2025,_911343,0,"Centres de stockage de données numériques avec consommations annuelles >= 1kWh par € de la VA, pour les quantités excédant 1 Gwh par an - TICFE Fournisseur - Taux réduits - Quantité",2057
2022,_911344,3629229.54,"Centres de stockage de données numériques avec consommations annuelles >= 1kWh par € de la VA, pour les quantités excédant 1 Gwh par an - TICFE Fournisseur - Taux réduits - Montant",3106
2023,_911344,0,"Centres de stockage de données numériques avec consommations annuelles >= 1kWh par € de la VA, pour les quantités excédant 1 Gwh par an - TICFE Fournisseur - Taux réduits - Montant",3215
2024,_911344,0,"Centres de stockage de données numériques avec consommations annuelles >= 1kWh par € de la VA, pour les quantités excédant 1 Gwh par an - TICFE Fournisseur - Taux réduits - Montant",3234
2025,_911344,0,"Centres de stockage de données numériques avec consommations annuelles >= 1kWh par € de la VA, pour les quantités excédant 1 Gwh par an - TICFE Fournisseur - Taux réduits - Montant",2057
2022,_911345,234722.206,"Exploitants d'aérodromes ouverts à la circulation aérienne publique, dont la consommation d'électricité est > 222Wh par euros de VA - TICFE Fournisseur - Taux réduits - Quantité",3106
2023,_911345,0,"Exploitants d'aérodromes ouverts à la circulation aérienne publique, dont la consommation d'électricité est > 222Wh par euros de VA - TICFE Fournisseur - Taux réduits - Quantité",3215
2025,_911345,0,"Exploitants d'aérodromes ouverts à la circulation aérienne publique, dont la consommation d'électricité est > 222Wh par euros de VA - TICFE Fournisseur - Taux réduits - Quantité",2057
2022,_911346,1760416.55,"Exploitants d'aérodromes ouverts à la circulation aérienne publique, dont la consommation d'électricité est > 222Wh par euros de VA - TICFE Fournisseur - Taux réduits - Montant",3106
2023,_911346,0,"Exploitants d'aérodromes ouverts à la circulation aérienne publique, dont la consommation d'électricité est > 222Wh par euros de VA - TICFE Fournisseur - Taux réduits - Montant",3215
2025,_911346,0,"Exploitants d'aérodromes ouverts à la circulation aérienne publique, dont la consommation d'électricité est > 222Wh par euros de VA - TICFE Fournisseur - Taux réduits - Montant",2057
2022,_911347,64063190,TOTAL - TICFE Fournisseur - Taux réduits - Quantité,3106
2023,_911347,39974830,TOTAL - TICFE Fournisseur - Taux réduits - Quantité,3215
2024,_911347,48013846,TOTAL - TICFE Fournisseur - Taux réduits - Quantité,3234
2025,_911347,41777180,TOTAL - TICFE Fournisseur - Taux réduits - Quantité,2057
2022,_911348,86709267,TOTAL - TICFE Fournisseur - Taux réduits - Montant,3106
2023,_911348,20631700,TOTAL - TICFE Fournisseur - Taux réduits - Montant,3215
2024,_911348,25785640,TOTAL - TICFE Fournisseur - Taux réduits - Montant,3234
2025,_911348,21935731,TOTAL - TICFE Fournisseur - Taux réduits - Montant,2057
2022,_911349,861342,REGULARISATION fiscale augmentation -TICFE Fournisseur,3106
2023,_911349,190812,REGULARISATION fiscale augmentation -TICFE Fournisseur,3215
2024,_911349,798112,REGULARISATION fiscale augmentation -TICFE Fournisseur,3234
2025,_911349,586715,REGULARISATION fiscale augmentation -TICFE Fournisseur,2057
2022,_911350,2244513712,TOTAL TICFE DUE - TICFE Fournisseur,3106
2023,_911350,459694055,TOTAL TICFE DUE - TICFE Fournisseur,3215
2024,_911350,4852698584,TOTAL TICFE DUE - TICFE Fournisseur,3234
2025,_911350,6736293142,TOTAL TICFE DUE - TICFE Fournisseur,2057
2022,_911351,18212107.065,"Réduction chimique, électrolyse, procédés métallurgiques - TICFE Fournisseur - QUANTITES EXONEREES",3106
2023,_911351,15793200.863,"Réduction chimique, électrolyse, procédés métallurgiques - TICFE Fournisseur - QUANTITES EXONEREES",3215
2024,_911351,16623940.441,"Réduction chimique, électrolyse, procédés métallurgiques - TICFE Fournisseur - QUANTITES EXONEREES",3234
2025,_911351,12881509.997,"Réduction chimique, électrolyse, procédés métallurgiques - TICFE Fournisseur - QUANTITES EXONEREES",2057
2022,_911352,6406829.37,Fabrication de produits minéraux non métalliques - TICFE Fournisseur - QUANTITES EXONEREES,3106
2023,_911352,5224242.049,Fabrication de produits minéraux non métalliques - TICFE Fournisseur - QUANTITES EXONEREES,3215
2024,_911352,5719224.458,Fabrication de produits minéraux non métalliques - TICFE Fournisseur - QUANTITES EXONEREES,3234
2025,_911352,4268935.94,Fabrication de produits minéraux non métalliques - TICFE Fournisseur - QUANTITES EXONEREES,2057
2022,_911353,826565.719,Entreprise pour laquelle l'électricité représente plus de 50 % du coût d'un produit - TICFE Fournisseur - QUANTITES EXONEREES,3106
2023,_911353,1078374.284,Entreprise pour laquelle l'électricité représente plus de 50 % du coût d'un produit - TICFE Fournisseur - QUANTITES EXONEREES,3215
2025,_911353,686724.764,Entreprise pour laquelle l'électricité représente plus de 50 % du coût d'un produit - TICFE Fournisseur - QUANTITES EXONEREES,2057
2022,_911354,23707972.407,électricité utilisée dans les établissements de production de produits énergétiques - TICFE Fournisseur - QUANTITES EXONEREES,3106
2023,_911354,11450012.362,électricité utilisée dans les établissements de production de produits énergétiques - TICFE Fournisseur - QUANTITES EXONEREES,3215
2024,_911354,5913986.849,électricité utilisée dans les établissements de production de produits énergétiques - TICFE Fournisseur - QUANTITES EXONEREES,3234
2025,_911354,5811350.139,électricité utilisée dans les établissements de production de produits énergétiques - TICFE Fournisseur - QUANTITES EXONEREES,2057
2022,_911355,10240308.011,Production d'électricité et maintien de la capacité de production d'électricité - TICFE - QUANTITES EXONEREES,3106
2023,_911355,1364719.924,Production d'électricité et maintien de la capacité de production d'électricité - TICFE - QUANTITES EXONEREES,3215
2024,_911355,1730138.155,Production d'électricité et maintien de la capacité de production d'électricité - TICFE - QUANTITES EXONEREES,3234
2025,_911355,3407745.748,Production d'électricité et maintien de la capacité de production d'électricité - TICFE - QUANTITES EXONEREES,2057
2022,_911356,2031654.673,Compensation des pertes réseaux - TICFE Fournisseur - QUANTITES EXONEREES,3106
2023,_911356,1928605.347,Compensation des pertes réseaux - TICFE Fournisseur - QUANTITES EXONEREES,3215
2024,_911356,2950298.987,Compensation des pertes réseaux - TICFE Fournisseur - QUANTITES EXONEREES,3234
2025,_911356,22935.487,Compensation des pertes réseaux - TICFE Fournisseur - QUANTITES EXONEREES,2057
2022,_911357,0,Production d'électricité à bord des bateaux - TICFE - QUANTITES EXONEREES,3106
2023,_911357,0,Production d'électricité à bord des bateaux - TICFE - QUANTITES EXONEREES,3215
2024,_911357,0,Production d'électricité à bord des bateaux - TICFE - QUANTITES EXONEREES,3234
2022,_911358,61425429,TOTAL - TICFE Fournisseur - QUANTITES EXONEREES,3106
2023,_911358,36839159,TOTAL - TICFE Fournisseur - QUANTITES EXONEREES,3215
2024,_911358,46130976,TOTAL - TICFE Fournisseur - QUANTITES EXONEREES,3234
2025,_911358,27236740,TOTAL - TICFE Fournisseur - QUANTITES EXONEREES,2057
2022,_911359,458887274,TOTAL QUANTITES FACTUREES - TICFE Fournisseur,3106
2023,_911359,433030532,TOTAL QUANTITES FACTUREES - TICFE Fournisseur,3215
2024,_911359,464426404,TOTAL QUANTITES FACTUREES - TICFE Fournisseur,3234
2025,_911359,344139083,TOTAL QUANTITES FACTUREES - TICFE Fournisseur,2057
2022,_911363,2328749,Régularisations commerciales à la hausse - TICFE,3106
2023,_911363,410044,Régularisations commerciales à la hausse - TICFE,3215
2024,_911363,654809,Régularisations commerciales à la hausse - TICFE,3234
2025,_911363,492268,Régularisations commerciales à la hausse - TICFE,2057
2022,_911365,9846046,Régularisations commerciales à la baisse - TICFE,3106
2023,_911365,2033879,Régularisations commerciales à la baisse - TICFE,3215
2024,_911365,22372588,Régularisations commerciales à la baisse - TICFE,3234
2025,_911365,100795113,Régularisations commerciales à la baisse - TICFE,2057
2022,_911368,586371829.46,"Régularisations tarif à 22,50 €/MWh - TICFE - Taux pleins - Montant",3106
2023,_911368,183184939.07,"Régularisations tarif à 22,50 €/MWh - TICFE - Taux pleins - Montant",3215
2024,_911368,41906681.71,"Régularisations tarif à 22,50 €/MWh - TICFE - Taux pleins - Montant",3234
2025,_911368,60817493.13,"Régularisations tarif à 22,50 €/MWh - TICFE - Taux pleins - Montant",2057
2022,_911369,73127942.803,"Tarif à 22,50 €/MWh (bouclier tarifaire) - TICFE - Taux pleins - Quantité",3106
2023,_911369,137480362.811,"Tarif à 22,50 €/MWh (bouclier tarifaire) - TICFE - Taux pleins - Quantité",3215
2024,_911369,47778358.954,"Tarif à 22,50 €/MWh (bouclier tarifaire) - TICFE - Taux pleins - Quantité",3234
2025,_911369,17983424.265,"Tarif à 22,50 €/MWh (bouclier tarifaire) - TICFE - Taux pleins - Quantité",2057
2022,_911370,36563971.62,"Tarif à 22,50 €/MWh (bouclier tarifaire) - TICFE - Taux pleins - Montant",3106
2023,_911370,68740181.55,"Tarif à 22,50 €/MWh (bouclier tarifaire) - TICFE - Taux pleins - Montant",3215
2024,_911370,23889179.71,"Tarif à 22,50 €/MWh (bouclier tarifaire) - TICFE - Taux pleins - Montant",3234
2025,_911370,8991712.28,"Tarif à 22,50 €/MWh (bouclier tarifaire) - TICFE - Taux pleins - Montant",2057
2022,_911371,136133609.757,"Tarif majoré à 25,8291 €/MWh (bouclier tarifaire) - TICFE - Taux pleins - Quantité",3106
2023,_911371,187599508.279,"Tarif majoré à 25,8291 €/MWh (bouclier tarifaire) - TICFE - Taux pleins - Quantité",3215
2024,_911371,93825347.215,"Tarif majoré à 25,8291 €/MWh (bouclier tarifaire) - TICFE - Taux pleins - Quantité",3234
2025,_911371,331825.697,"Tarif majoré à 25,8291 €/MWh (bouclier tarifaire) - TICFE - Taux pleins - Quantité",2057
2022,_911372,136133609.92,"Tarif majoré à 25,8291 €/MWh (bouclier tarifaire) - TICFE - Taux pleins - Montant",3106
2023,_911372,187599508.45,"Tarif majoré à 25,8291 €/MWh (bouclier tarifaire) - TICFE - Taux pleins - Montant",3215
2024,_911372,93825347.38,"Tarif majoré à 25,8291 €/MWh (bouclier tarifaire) - TICFE - Taux pleins - Montant",3234
2025,_911372,331825.76,"Tarif majoré à 25,8291 €/MWh (bouclier tarifaire) - TICFE - Taux pleins - Montant",2057
2022,_911373,29121605.972,"Tarif majoré à 23,6097 €/MWh (bouclier tarifaire) - TICFE - Taux pleins - Quantité",3106
2023,_911373,0,"Tarif majoré à 23,6097 €/MWh (bouclier tarifaire) - TICFE - Taux pleins - Quantité",3215
2024,_911373,0,"Tarif majoré à 23,6097 €/MWh (bouclier tarifaire) - TICFE - Taux pleins - Quantité",3234
2025,_911373,0,"Tarif majoré à 23,6097 €/MWh (bouclier tarifaire) - TICFE - Taux pleins - Quantité",2057
2022,_911374,14560803.03,"Tarif majoré à 23,6097 €/MWh (bouclier tarifaire) - TICFE - Taux pleins - Montant",3106
2023,_911374,0,"Tarif majoré à 23,6097 €/MWh (bouclier tarifaire) - TICFE - Taux pleins - Montant",3215
2024,_911374,0,"Tarif majoré à 23,6097 €/MWh (bouclier tarifaire) - TICFE - Taux pleins - Montant",3234
2025,_911374,0,"Tarif majoré à 23,6097 €/MWh (bouclier tarifaire) - TICFE - Taux pleins - Montant",2057
2022,_911375,10660943.452,Installations industrielles au sein de sites IEI (ou d'entreprises IEI) dont la consommation est strictement supérieure à 3kWh par € de VA (bouclier tarifaire) - TICFE - Taux réduits - Quantité,3106
2023,_911375,5945231.157,Installations industrielles au sein de sites IEI (ou d'entreprises IEI) dont la consommation est strictement supérieure à 3kWh par € de VA (bouclier tarifaire) - TICFE - Taux réduits - Quantité,3215
2024,_911375,4788908.221,Installations industrielles au sein de sites IEI (ou d'entreprises IEI) dont la consommation est strictement supérieure à 3kWh par € de VA (bouclier tarifaire) - TICFE - Taux réduits - Quantité,3234
2025,_911375,4359082.682,Installations industrielles au sein de sites IEI (ou d'entreprises IEI) dont la consommation est strictement supérieure à 3kWh par € de VA (bouclier tarifaire) - TICFE - Taux réduits - Quantité,2057
2022,_911376,5330471.82,Installations industrielles au sein de sites IEI (ou d'entreprises IEI) dont la consommation est strictement supérieure à 3kWh par € de VA (bouclier tarifaire) - TICFE - Taux réduits - Montant,3106
2023,_911376,2972615.66,Installations industrielles au sein de sites IEI (ou d'entreprises IEI) dont la consommation est strictement supérieure à 3kWh par € de VA (bouclier tarifaire) - TICFE - Taux réduits - Montant,3215
2024,_911376,2394454.21,Installations industrielles au sein de sites IEI (ou d'entreprises IEI) dont la consommation est strictement supérieure à 3kWh par € de VA (bouclier tarifaire) - TICFE - Taux réduits - Montant,3234
2025,_911376,2179541.51,Installations industrielles au sein de sites IEI (ou d'entreprises IEI) dont la consommation est strictement supérieure à 3kWh par € de VA (bouclier tarifaire) - TICFE - Taux réduits - Montant,2057
2022,_911377,4278622.132,"Installations industrielles au sein de sites IEI (ou d'entreprises IEI) dont la consommation est comprise entre 1,5 et 3kWh par € de VA (bouclier tarifaire) - TICFE - Taux réduits - Quantité",3106
2023,_911377,4052639.15,"Installations industrielles au sein de sites IEI (ou d'entreprises IEI) dont la consommation est comprise entre 1,5 et 3kWh par € de VA (bouclier tarifaire) - TICFE - Taux réduits - Quantité",3215
2024,_911377,4529679.826,"Installations industrielles au sein de sites IEI (ou d'entreprises IEI) dont la consommation est comprise entre 1,5 et 3kWh par € de VA (bouclier tarifaire) - TICFE - Taux réduits - Quantité",3234
2025,_911377,3782253.569,"Installations industrielles au sein de sites IEI (ou d'entreprises IEI) dont la consommation est comprise entre 1,5 et 3kWh par € de VA (bouclier tarifaire) - TICFE - Taux réduits - Quantité",2057
2022,_911378,2139311.11,"Installations industrielles au sein de sites IEI (ou d'entreprises IEI) dont la consommation est comprise entre 1,5 et 3kWh par € de VA (bouclier tarifaire) - TICFE - Taux réduits - Montant",3106
2023,_911378,2026319.72,"Installations industrielles au sein de sites IEI (ou d'entreprises IEI) dont la consommation est comprise entre 1,5 et 3kWh par € de VA (bouclier tarifaire) - TICFE - Taux réduits - Montant",3215
2024,_911378,2264839.98,"Installations industrielles au sein de sites IEI (ou d'entreprises IEI) dont la consommation est comprise entre 1,5 et 3kWh par € de VA (bouclier tarifaire) - TICFE - Taux réduits - Montant",3234
2025,_911378,1891126.83,"Installations industrielles au sein de sites IEI (ou d'entreprises IEI) dont la consommation est comprise entre 1,5 et 3kWh par € de VA (bouclier tarifaire) - TICFE - Taux réduits - Montant",2057
2022,_911379,16326001.211,"Installations industrielles au sein de sites IEI (ou d'entreprises IEI) dont la consommation est strictement inférieure à 1,5kWh par € de VA (bouclier tarifaire) - TICFE - Taux réduits - Quantité",3106
2023,_911379,13499770.57,"Installations industrielles au sein de sites IEI (ou d'entreprises IEI) dont la consommation est strictement inférieure à 1,5kWh par € de VA (bouclier tarifaire) - TICFE - Taux réduits - Quantité",3215
2024,_911379,16552238.025,"Installations industrielles au sein de sites IEI (ou d'entreprises IEI) dont la consommation est strictement inférieure à 1,5kWh par € de VA (bouclier tarifaire) - TICFE - Taux réduits - Quantité",3234
2025,_911379,16173404.123,"Installations industrielles au sein de sites IEI (ou d'entreprises IEI) dont la consommation est strictement inférieure à 1,5kWh par € de VA (bouclier tarifaire) - TICFE - Taux réduits - Quantité",2057
