millesime,case,sum,label,ntot
2023,_911244,10478249.6,"Entreprises grandes consommatrices d'énergie dont les activités sont exposées à un risque de fuite de carbone, régime prévu à l'alinéa 3 de l'article 265 nonies - TICGN Fournisseur - Taux réduits - Montant",3215
2024,_911244,11009649.6,"Entreprises grandes consommatrices d'énergie dont les activités sont exposées à un risque de fuite de carbone, régime prévu à l'alinéa 3 de l'article 265 nonies - TICGN Fournisseur - Taux réduits - Montant",3234
2025,_911244,9218822.4,"Entreprises grandes consommatrices d'énergie dont les activités sont exposées à un risque de fuite de carbone, régime prévu à l'alinéa 3 de l'article 265 nonies - TICGN Fournisseur - Taux réduits - Montant",2057
2022,_911245,128704,"Gaz utilisé pour la déshydratation de légumes, et plantes aromatiques, autres que les pommes de terre, les champignons et les truffes, par les entreprises pour lesquelles la consommation de gaz est supérieure à 800 wattheures par e",3106
2023,_911245,348987,"Gaz utilisé pour la déshydratation de légumes, et plantes aromatiques, autres que les pommes de terre, les champignons et les truffes, par les entreprises pour lesquelles la consommation de gaz est supérieure à 800 wattheures par e",3215
2024,_911245,335324,"Gaz utilisé pour la déshydratation de légumes, et plantes aromatiques, autres que les pommes de terre, les champignons et les truffes, par les entreprises pour lesquelles la consommation de gaz est supérieure à 800 wattheures par e",3234
2025,_911245,113058,"Gaz utilisé pour la déshydratation de légumes, et plantes aromatiques, autres que les pommes de terre, les champignons et les truffes, par les entreprises pour lesquelles la consommation de gaz est supérieure à 800 wattheures par e",2057
2022,_911246,205926.4,"Gaz utilisé pour la déshydratation de légumes, et plantes aromatiques, autres que les pommes de terre, les champignons et les truffes, par les entreprises pour lesquelles la consommation de gaz est supérieure à 800 wattheures par e",3106
2023,_911246,558379.2,"Gaz utilisé pour la déshydratation de légumes, et plantes aromatiques, autres que les pommes de terre, les champignons et les truffes, par les entreprises pour lesquelles la consommation de gaz est supérieure à 800 wattheures par e",3215
2024,_911246,536518.4,"Gaz utilisé pour la déshydratation de légumes, et plantes aromatiques, autres que les pommes de terre, les champignons et les truffes, par les entreprises pour lesquelles la consommation de gaz est supérieure à 800 wattheures par e",3234
2025,_911246,180892.8,"Gaz utilisé pour la déshydratation de légumes, et plantes aromatiques, autres que les pommes de terre, les champignons et les truffes, par les entreprises pour lesquelles la consommation de gaz est supérieure à 800 wattheures par e",2057
2022,_911247,63749294,TOTAL - TICGN Fournisseur - Taux réduits - Quantité,3106
2023,_911247,58626449,TOTAL - TICGN Fournisseur - Taux réduits - Quantité,3215
2024,_911247,60361571,TOTAL - TICGN Fournisseur - Taux réduits - Quantité,3234
2025,_911247,43287870,TOTAL - TICGN Fournisseur - Taux réduits - Quantité,2057
2022,_911248,97475647,TOTAL - TICGN Fournisseur - Taux réduits - Montant,3106
2023,_911248,89664041,TOTAL - TICGN Fournisseur - Taux réduits - Montant,3215
2024,_911248,92326896,TOTAL - TICGN Fournisseur - Taux réduits - Montant,3234
2025,_911248,66267548,TOTAL - TICGN Fournisseur - Taux réduits - Montant,2057
2022,_911249,524961,REGULARISATION fiscale augmentation -TICGN Fournisseur,3106
2024,_911249,369745,REGULARISATION fiscale augmentation -TICGN Fournisseur,3234
2025,_911249,77824,REGULARISATION fiscale augmentation -TICGN Fournisseur,2057
2022,_911250,2116239928,TOTAL TICGN DUE - TICGN Fournisseur,3106
2023,_911250,1842941080,TOTAL TICGN DUE - TICGN Fournisseur,3215
